"Notes","State","State Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"West Virginia","54","85-89 years","85-89",2887,Not Applicable,Not Applicable
,"West Virginia","54","90-94 years","90-94",1748,Not Applicable,Not Applicable
,"West Virginia","54","95-99 years","95-99",637,Not Applicable,Not Applicable
,"West Virginia","54","100+ years","100+",147,Not Applicable,Not Applicable
,"West Virginia","54","Not Stated","NS",0,Not Applicable,Not Applicable
,"Wisconsin","55","< 1 year","1",459,65920,696.3
,"Wisconsin","55","1-4 years","1-4",110,269904,40.8
,"Wisconsin","55","5-9 years","5-9",63,383130,16.4
,"Wisconsin","55","10-14 years","10-14",83,404270,20.5
,"Wisconsin","55","15-19 years","15-19",256,407067,62.9
,"Wisconsin","55","20-24 years","20-24",313,350798,89.2
,"Wisconsin","55","25-29 years","25-29",249,339102,73.4
,"Wisconsin","55","30-34 years","30-34",325,374238,86.8
,"Wisconsin","55","35-39 years","35-39",515,441021,116.8
,"Wisconsin","55","40-44 years","40-44",743,435951,170.4
,"Wisconsin","55","45-49 years","45-49",1040,389465,267.0
,"Wisconsin","55","50-54 years","50-54",1325,320353,413.6
,"Wisconsin","55","55-59 years","55-59",1728,246287,701.6
,"Wisconsin","55","60-64 years ","60-64",2281,203967,1118.3
,"Wisconsin","55","65-69 years","65-69",3330,182689,1822.8
,"Wisconsin","55","70-74 years","70-74",5014,173850,2884.1
,"Wisconsin","55","75-79 years","75-79",6380,145784,4376.3
,"Wisconsin","55","80-84 years","80-84",7690,104704,7344.5
,"Wisconsin","55","85-89 years","85-89",7253,Not Applicable,Not Applicable
,"Wisconsin","55","90-94 years","90-94",5065,Not Applicable,Not Applicable
,"Wisconsin","55","95-99 years","95-99",2010,Not Applicable,Not Applicable
,"Wisconsin","55","100+ years","100+",440,Not Applicable,Not Applicable
,"Wisconsin","55","Not Stated","NS",0,Not Applicable,Not Applicable
,"Wyoming","56","< 1 year","1",42,6070,691.9
,"Wyoming","56","1-4 years","1-4",Suppressed,25021,Suppressed
,"Wyoming","56","5-9 years","5-9",19,34679,Unreliable
,"Wyoming","56","10-14 years","10-14",12,39170,Unreliable
,"Wyoming","56","15-19 years","15-19",45,42523,105.8
,"Wyoming","56","20-24 years","20-24",39,33185,117.5
,"Wyoming","56","25-29 years","25-29",24,29627,81.0
,"Wyoming","56","30-34 years","30-34",33,29400,112.2
,"Wyoming","56","35-39 years","35-39",66,37875,174.3
,"Wyoming","56","40-44 years","40-44",94,42628,220.5
,"Wyoming","56","45-49 years","45-49",121,39777,304.2
,"Wyoming","56","50-54 years","50-54",156,31755,491.3
,"Wyoming","56","55-59 years","55-59",179,24050,744.3
,"Wyoming","56","60-64 years ","60-64",230,19186,1198.8
,"Wyoming","56","65-69 years","65-69",328,16464,1992.2
,"Wyoming","56","70-74 years","70-74",419,14640,2862.0
,"Wyoming","56","75-79 years","75-79",537,11533,4656.2
,"Wyoming","56","80-84 years","80-84",608,7649,7948.8
,"Wyoming","56","85-89 years","85-89",541,Not Applicable,Not Applicable
,"Wyoming","56","90-94 years","90-94",365,Not Applicable,Not Applicable
,"Wyoming","56","95-99 years","95-99",151,Not Applicable,Not Applicable
,"Wyoming","56","100+ years","100+",29,Not Applicable,Not Applicable
,"Wyoming","56","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
