"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","As at","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","95 Years and Over","Total All Ages"
"2005Q3",57910,57610,56160,55410,57240,58860,57350,58260,58250,59450,61120,60930,62540,63320,64760,64750,62740,61900,59910,59250,59520,59150,58750,56870,54940,52850,51760,50180,50460,51190,53530,55790,58170,61240,63010,61710,62580,61760,61580,61320,62360,64030,66130,66040,65230,63050,61510,59140,57940,56960,54780,53090,50920,50360,49340,49160,48280,48310,49050,42620,39870,37250,33740,36260,36230,34370,31000,29440,27860,26750,24860,24530,23540,23270,23460,22730,21430,20540,19500,18330,17180,16060,14080,13330,11910,11210,7720,7020,6270,5450,4480,3600,2820,2260,1500,3700,4145900
"2005Q4",58420,57410,56670,55400,56990,58780,58110,57610,58240,59320,61020,60840,62440,63030,64310,65050,63190,61930,60430,58970,59470,59100,58690,57920,55200,53540,52280,50910,50360,51660,52900,55620,57840,60870,62920,62300,62560,62400,61400,61560,62260,63820,65920,66350,65330,64090,61360,59930,58040,57780,55110,53360,51160,50830,49260,49440,48260,48550,48600,45190,40600,37450,34650,35330,36200,35080,31700,29720,28290,27050,25000,24900,23370,23330,23080,22950,21520,20760,19410,18490,17250,16180,14390,13170,11910,11340,8130,7150,6200,5530,4500,3650,2810,2350,1540,3740,4161000
"2006Q1",58540,57530,57330,55820,56060,58670,58980,57290,58690,58400,60890,61290,62020,62700,64390,65510,63900,62300,61250,59160,59760,59190,58690,58330,55530,54070,52700,51360,50500,51800,52390,55370,57420,60230,62780,62730,62800,62830,61610,61670,62320,63120,65290,66890,65730,64500,61990,60390,58510,57750,55740,53660,51810,50930,49610,49150,48590,48220,48390,47440,40980,37860,35970,33990,36570,35830,31970,30090,28510,27200,25450,24760,23600,23300,22720,23090,21680,20610,19550,18580,17420,16300,14570,13130,12220,11090,8850,7160,6120,5600,4550,3690,2820,2350,1660,3780,4176100
"2006Q2",59060,57370,57690,56110,55770,58040,59190,57470,58580,58590,60360,61540,61630,63140,63770,65620,64600,62700,61320,59320,59540,59210,58640,57970,55830,53990,52620,51740,50350,51670,52260,54790,57040,59510,62410,63500,62200,62910,62160,61790,61930,62810,65110,66360,66280,64990,62460,61450,58580,57680,56330,54100,52590,50670,49950,48930,49100,47920,48370,48680,40960,38840,37080,33120,36660,36070,33180,30110,28750,27430,25850,24590,23790,23190,22750,22900,21850,20550,19860,18440,17410,16510,14670,13230,12350,10790,9520,7090,6190,5490,4630,3720,2870,2330,1710,3810,4184600
"2006Q3",59390,57680,57930,56430,55720,57690,59340,57840,58560,58580,59990,61630,61300,62850,63610,65120,65250,63030,61900,59830,59270,59230,58420,57840,56210,54460,52800,52070,50830,51270,52210,54550,56470,58780,62040,63760,62360,63210,62320,62040,61740,62840,64430,66520,66300,65380,63150,61560,59140,57930,56960,54670,52930,50810,50210,49240,49030,48160,48170,48920,42430,39800,37070,33640,36100,36050,34120,30700,29160,27520,26390,24440,24030,22980,22700,22810,22030,20620,19740,18640,17450,16280,15070,13140,12270,10840,10120,6880,6160,5430,4610,3720,2900,2250,1760,3740,4195500
"2006Q4",60180,58190,57740,56980,55690,57460,59310,58640,58090,58660,59860,61490,61130,62690,63230,64450,65270,63350,61750,60300,58900,59090,58290,57810,57220,54760,53570,52550,51560,51270,52640,53820,56350,58430,61560,63610,62980,63080,63000,61810,61990,62640,64180,66200,66660,65420,64190,61350,59880,58000,57760,55010,53180,51060,50660,49140,49310,48140,48380,48460,45010,40470,37290,34480,35170,35980,34790,31400,29370,27920,26630,24590,24370,22820,22720,22420,22280,20720,19950,18530,17560,16370,15200,13420,12130,10910,10270,7200,6270,5360,4660,3750,2950,2200,1830,3770,4209100
"2007Q1",61160,58330,57790,57590,56130,56520,59210,59490,57880,59200,58950,61270,61550,62180,62760,64450,65600,63910,61750,61060,58960,59110,57940,57510,57430,54900,53830,52770,51820,51340,52620,53260,56060,57960,60860,63390,63320,63250,63290,61970,62010,62630,63390,65470,67050,65840,64500,61950,60290,58370,57630,55560,53460,51640,50720,49460,48980,48460,48050,48240,47250,40830,37640,35750,33770,36330,35450,31660,29710,28120,26710,25010,24250,23020,22680,22070,22370,20910,19780,18650,17670,16490,15330,13640,12120,11190,10020,7890,6280,5330,4710,3790,2980,2210,1810,3900,4219400
"2007Q2",62130,59010,57590,57940,56430,56240,58590,59730,58040,59180,59180,60730,61730,61700,63040,63690,65470,64350,61950,60820,58930,58530,57810,57160,56760,54990,53720,52460,52150,51130,52420,53030,55340,57640,60080,62950,64000,62610,63300,62450,62120,62150,62990,65240,66450,66310,64900,62380,61330,58330,57490,56120,53890,52390,50450,49700,48820,48870,47760,48260,48440,40790,38630,36830,32870,36410,35670,32830,29670,28350,26910,25330,24100,23180,22560,22100,22180,21050,19780,18940,17570,16440,15520,13710,12220,11270,9810,8480,6230,5370,4650,3850,3050,2270,1820,3970,4223800
"2007Q3",63190,59360,57810,58140,56700,56130,58120,59860,58370,59120,59130,60460,61750,61390,62800,63530,65190,64860,62440,61380,59370,58320,57920,57030,56590,55200,53980,52670,52350,51450,52000,52910,55050,57060,59260,62480,64220,62740,63570,62570,62300,61970,62890,64480,66560,66290,65330,63060,61430,58870,57760,56720,54390,52720,50630,49970,49100,48780,48000,48030,48710,42240,39550,36810,33370,35830,35660,33730,30260,28730,27000,25860,23920,23440,22390,22030,22090,21250,19840,18880,17740,16530,15270,14070,12170,11180,9890,9030,6070,5370,4610,3870,3060,2320,1780,3990,4234300
"2007Q4",63940,60070,58230,57850,57170,56110,57820,59780,59170,58520,59180,60260,61590,61170,62650,63000,64440,65020,62780,61290,59710,58170,57830,56880,56630,56120,54090,53200,52630,51980,51850,53180,54260,56820,58840,61920,63970,63270,63320,63260,61990,62140,62730,64230,66150,66560,65340,64010,61170,59650,57800,57480,54700,52950,50840,50480,48940,49120,47920,48200,48320,44780,40250,37070,34250,34860,35660,34390,30960,28920,27430,26110,24090,23800,22230,22090,21710,21470,19930,19110,17570,16680,15340,14150,12460,11060,9870,9160,6400,5460,4560,3920,3120,2380,1750,4070,4245700
"2008Q1",64500,60940,58390,57880,57680,56510,56840,59640,59990,58280,59610,59360,61410,61550,62140,62590,64320,65510,63040,61540,60580,58250,57750,56710,56330,56410,54120,53510,52920,52230,51930,53170,53630,56460,58350,61160,63690,63640,63260,63510,62140,62160,62700,63380,65380,66930,65730,64290,61730,60090,58140,57330,55250,53200,51470,50550,49230,48790,48200,47870,48120,46980,40610,37420,35540,33540,35980,35040,31260,29300,27640,26200,24480,23710,22380,22070,21410,21610,20100,18940,17720,16770,15480,14220,12630,11080,10100,8940,6980,5490,4520,3960,3140,2450,1760,4170,4255600
"2008Q2",64410,61900,59040,57640,58050,56710,56630,58940,60200,58480,59560,59600,60970,61740,61670,62970,63450,65490,63510,61610,60530,58210,57320,56570,56110,55740,54200,53430,52600,52610,51720,53070,53370,55660,58090,60350,63300,64330,62740,63450,62630,62220,62210,62920,65100,66280,66180,64680,62120,61090,58060,57240,55790,53620,52210,50200,49490,48650,48600,47590,48100,48170,40570,38430,36610,32650,36050,35250,32410,29240,27880,26370,24840,23550,22580,21910,21440,21430,20230,18940,18000,16600,15430,14400,12690,11210,10190,8710,7470,5440,4560,3920,3180,2500,1780,4230,4259800
"2008Q3",64460,62920,59410,57860,58190,56970,56450,58420,60250,58770,59540,59470,60670,61850,61330,62810,63570,65060,64230,62080,61150,58780,57200,56630,55880,55570,54560,53620,52770,52790,52030,52630,53290,55380,57390,59620,62740,64560,62920,63580,62770,62380,62020,62770,64380,66380,66130,65130,62810,61120,58580,57460,56420,54050,52540,50430,49750,48860,48480,47780,47830,48470,41970,39330,36580,33170,35540,35230,33290,29820,28250,26490,25300,23390,22780,21750,21330,21320,20390,18990,17960,16750,15550,14170,12950,11180,10060,8760,7980,5260,4600,3830,3170,2490,1810,4190,4269600
"2008Q4",64420,63700,60070,58290,57870,57440,56280,58020,60110,59520,58810,59560,60480,61680,61170,62650,63020,64320,64480,62400,61120,59140,57140,56680,55960,55770,55470,53670,53280,53030,52520,52400,53580,54530,57090,59160,62210,64220,63480,63380,63380,62020,62110,62630,64090,66000,66360,65090,63780,60900,59330,57450,57180,54340,52750,50690,50180,48690,48840,47670,47960,48110,44490,39960,36820,34020,34570,35240,33940,30540,28440,26910,25540,23530,23120,21600,21410,20970,20600,19080,18150,16620,15680,14280,13000,11420,9990,8770,8150,5500,4670,3790,3230,2530,1840,4200,4280300
"2009Q1",64060,64300,60990,58520,58030,57860,56730,57130,59940,60350,58610,60000,59660,61550,61600,62150,62750,64360,65050,63000,61500,60200,57310,56880,55940,55590,55830,53880,53730,53340,52820,52590,53570,53870,56720,58740,61460,63970,63930,63430,63700,62240,62070,62660,63250,65270,66710,65520,64110,61480,59760,57860,57000,54960,53000,51320,50330,48960,48550,48000,47640,47870,46690,40320,37230,35300,33240,35650,34600,30820,28800,27130,25590,23930,23060,21750,21400,20680,20740,19200,18030,16770,15770,14430,13120,11550,10040,8990,7950,6030,4670,3780,3260,2560,1920,4270,4293500
"2009Q2",63900,64240,62020,59190,57860,58280,56980,56880,59320,60630,58870,59960,59990,61230,61810,61710,63130,63620,64960,63600,61730,60270,57670,56660,56020,55720,55320,54210,53750,53200,53340,52440,53410,53660,56070,58550,60720,63620,64610,62990,63660,62750,62270,62180,62860,65040,66140,65990,64560,61920,60880,57800,56950,55560,53400,52110,50060,49310,48440,48380,47430,47890,47940,40340,38230,36370,32400,35740,34840,31970,28750,27360,25830,24240,22940,21930,21280,20710,20610,19320,18020,17040,15640,14380,13330,11610,10170,9110,7730,6530,4610,3810,3200,2570,1960,4320,4302600
